#{"t_start": 1744231185.634812, "env_id": "Humanoid-v5"}
r,l,t
74.724116,20,39.163477
102.085621,24,39.223905
70.795831,17,39.264493
73.318621,19,39.31429
82.342382,21,39.370361
59.649454,15,39.406425
87.635818,23,39.462569
83.778953,21,39.513443
71.206221,17,39.557914
89.007889,23,39.614107
77.947771,19,39.66048
92.829468,23,39.715217
67.294893,17,39.756452
73.144512,18,39.800213
71.44644,18,39.842317
108.419729,25,39.902217
68.842703,19,39.948853
62.480092,15,39.984797
67.181481,18,40.027238
88.940916,22,40.081961
68.334367,18,40.131209
89.451319,22,40.189169
62.412836,15,40.227211
80.20574,20,40.282691
60.016211,14,40.317437
69.558113,17,40.361505
114.314324,26,40.429133
74.094172,18,40.475175
67.830426,17,40.514976
102.429675,26,40.579891
87.476821,21,40.647412
68.739576,17,40.689991
83.388724,22,40.741698
88.127447,21,40.793838
79.569336,20,40.843961
79.078603,20,40.892044
68.939999,18,40.935575
85.844738,22,40.988768
72.701269,19,41.033451
66.552293,16,41.073243
60.142428,14,41.109478
64.139578,16,41.147758
77.387009,21,41.200559
60.802472,14,41.234574
79.413997,20,41.284459
103.196996,25,41.344896
94.375743,24,41.432486
65.514881,16,41.471143
79.240491,19,41.515007
83.936065,21,41.56557
79.695753,19,41.610634
65.627719,16,41.648363
60.34461,14,41.684505
84.410239,22,41.737917
125.768132,28,41.80631
161.592781,34,41.890354
94.327633,23,41.947177
109.208101,26,42.010087
76.651414,20,42.058405
104.87977,25,42.124485
100.633154,23,42.184309
118.357081,26,42.249559
103.513649,24,42.307545
79.922138,21,42.358886
83.782051,21,42.406729
111.653826,26,42.470775
88.491543,22,42.524326
77.981809,19,42.569766
72.388433,18,42.612816
77.098081,19,42.659491
63.448129,15,42.695511
66.047124,17,42.740564
134.087467,29,42.811856
75.173276,18,42.857611
86.453668,22,42.90995
80.172111,21,42.960738
78.538341,19,43.007375
81.561511,21,43.058116
67.60769,18,43.101672
124.551848,27,43.168179
155.335299,34,43.25124
66.394715,17,43.292001
65.634492,16,43.330607
98.636917,23,43.385229
74.863402,19,43.445917
65.657698,16,43.489703
79.945842,20,43.540874
66.046135,18,43.586681
105.017689,25,43.650261
73.826017,18,43.692866
112.817786,25,43.753081
73.47829,18,43.79807
85.481226,21,43.84954
81.002565,20,43.898969
120.467999,26,43.970684
71.659937,18,44.013806
89.995628,22,44.066941
113.821451,26,44.130542
133.599761,30,44.205129
82.115698,21,44.263349
84.332955,20,44.315139
82.107915,20,44.365579
80.692556,20,44.417836
68.516575,17,44.460393
85.750679,20,44.509439
64.364712,16,44.550555
70.729475,17,44.593997
70.554543,17,44.634076
67.576223,16,44.672551
76.716346,18,44.714093
113.569127,27,44.780462
84.564805,22,44.834847
135.034198,30,44.910508
77.777243,20,44.962432
82.371444,21,45.009852
126.538481,28,45.077787
93.67641,23,45.133107
78.660417,19,45.179858
89.030286,21,45.230501
96.020261,24,45.288435
69.924983,17,45.328807
91.915432,23,45.38835
81.607861,19,45.435092
140.882093,31,45.511948
72.170472,18,45.555895
88.382774,22,45.610254
84.57447,21,45.666035
83.179889,20,45.718514
65.789467,17,45.758712
